," 2"," 3"," 4"," 5"," 6"," 7"," 8"
211860330,Rekayasa Perangkat Lunak,A,3,"7,8,9",VI,"Ali Tarmuji, S.T., M.Cs.",4.1.5.59
211860330,Rekayasa Perangkat Lunak,F,3,"7,8,9",VI,"Dr., Ir., Ardi Pujiyanta, M.T.",4.1.5.60
211860431,Teknologi Multimedia,D,3,"7,8",VI,"Ir., Ika Arfiani, S.T., M.Cs.",4.1.4.39
211820731,Pemrograman Web,D,3,"9,10",II,"Fiftin Noviyanto, S.T., M.Cs.",4.1.4.39
211840420,Islam Interdisipliner,E,2,"9,10",IV,"Ahmad Fibrianto, M.Pd.",4.1.5.61
211860631,Kriptografi,B,3,"9,10",VI,"Nur Rochmah Dyah PA, S.T., M.Kom.",4.1.4.48
211860831,Sistem Informasi Geografis,B,3,"9,10",VI,"Ir., Ika Arfiani, S.T., M.Cs.",4.1.5.55
211861131,Deep Learning,A,3,"9,10",VI,"Ir., Herman Yuliansyah, S.T., M.Eng., Ph.D.",4.1.4.40
AIK-24042,Bimbingan Umroh,A2,0,"9,10",VI,"Nur Kholis, M.Ag.",4.1.5.62
AIK-24042,Bimbingan Umroh,B2,0,"9,10",VI,"Husnul Khotimah Husaeri, S.Psi., S.H.I., M.Sc",4.1.8.81
AIK-24042,Bimbingan Umroh,C2,0,"9,10",VI,"Diyan Fathurrahman, S.Th.I.",4.1.4.49
211840630,Komunikasi Data dan Jaringan Komputer,F,3,"10,11,12",IV,"Ir., Nuril Anwar, S.T., M.Kom",4.1.5.57
211860330,Rekayasa Perangkat Lunak,G,3,"10,11,12",VI,"Andri Pranolo, S.Kom., M.Cs., Ph.D.",4.1.5.59
211840420,Islam Interdisipliner,G,2,"11,12",IV,"Ahmad Fibrianto, M.Pd.",4.1.5.61
211860731,Rekayasa Web,B,3,"11,12",VI,"Supriyanto, S.T., M.T.",4.1.4.39
AIK-24052,Dakwah Digital,A,0,"11,12",VIII,"Nayif Fairuza, S.Hum., M.A.",4.1.5.55
AIK-24052,Dakwah Digital,B,0,"11,12",VIII,4.1.5.55,
Sabtu,AIK-24082,Khutbah,F1,0,"3,4",II,"Dr., Irsyadunnas"
AIK-24082,Khutbah,E1,0,"5,6",II,"Dr., Irsyadunnas",Daring ( T. Informatika )
